"","PROBEID","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC2000008678.hg.1","1471","CST3",-1.50309638827628,8.34440509526255,-6.75661163033016,1.54312139788508e-06,0.003224584946068,5.27632888898359
"2","TC0300013051.hg.1","11235","PDCD10",1.24445879253709,7.0957906240742,6.61697521089062,2.06480576451156e-06,0.003224584946068,5.01340820177117
"3","TC1900007891.hg.1","10870","HCST",-1.57595045353329,7.79418999492148,-6.61030048165894,2.09388632861558e-06,0.003224584946068,5.00076351763509
"4","TC1200008255.hg.1","23390","ZDHHC17",1.2212593436163,5.03011187839097,6.24230994353814,4.56805932462126e-06,0.00527610851993755,4.29296421680653
"5","TC0600007377.hg.1","8342","H2BC14",-2.15275179762167,7.52707097228262,-6.0222123084688,7.34433532009826e-06,0.00616387840760655,3.85985672524689
"6","TC1100006547.hg.1","6150","MRPL23",-1.06150129538558,3.12481273292021,-5.98258036541553,8.00503689299552e-06,0.00616387840760655,3.78111822314902
"7","TC0100013623.hg.1","81493","SYNC",-1.07777518988008,3.77506745049234,-5.83500448069462,1.10508451519242e-05,0.00729355780026997,3.4859637653779
"8","TC0X00010880.hg.1","56180","MOSPD1",1.25068304491092,4.85521847211036,5.74931416220636,1.33420094973258e-05,0.00770501048470563,3.31319529123819
"9","TC0100015891.hg.1","200186","CRTC2",1.03161942129725,7.66258037979688,5.67577717791017,1.56941024455353e-05,0.00805630592204148,3.16414064789511
"10","TC0400011013.hg.1","5473","PPBP",1.85980437725445,9.22829547617811,5.47040766872823,2.47776214850974e-05,0.0102905048737164,2.74415488184743
"11","TC0200008268.hg.1","10578","GNLY",-1.20260307153873,9.23527203108836,-5.43787447283572,2.66476232403695e-05,0.0102905048737164,2.67714039456475
"12","TC1100007257.hg.1","847","CAT",1.5347812134981,7.27379664656847,5.39739488483498,2.91771359897092e-05,0.0102905048737164,2.59357966730833
"13","TC1800009268.hg.1","1824","DSC2",1.96622809806684,6.28490938747093,5.38758736989673,2.98260578337502e-05,0.0102905048737164,2.57330505224211
"14","TC0200006677.hg.1","6241","RRM2",-1.74134314208758,5.48064386221863,-5.36775939659871,3.1183348102171e-05,0.0102905048737164,2.5322811144977
"15","TC1900009636.hg.1","65095","KRI1",-0.990555245504363,7.1072382481607,-5.31797409347539,3.48759558052798e-05,0.0107417943880262,2.42907478776151
"16","TC1700012313.hg.1","6182","MRPL12",-0.982829802649075,7.0994388227995,-5.17827602007273,4.7804787666495e-05,0.0131928953850094,2.13799724144527
"17","TC1900010746.hg.1","56915","EXOSC5",-1.01469573630929,5.52173811375214,-5.17148706357118,4.8545286048736e-05,0.0131928953850094,2.12379807830291
"18","TC1800006448.hg.1","7298","TYMS",-1.33456480211888,4.54558975268972,-5.11921617685237,5.46521261142744e-05,0.0140273790359971,2.01431346715279
"19","TC0400010449.hg.1","81793","TLR10",1.21139611131058,6.35617849705532,5.09207078187763,5.81264042298827e-05,0.0141338940811609,1.9573464374732
"20","TC1900006976.hg.1","51073","MRPL4",-0.986334422280533,4.0800942346166,-5.0645745837515,6.18748941989405e-05,0.0142931005599553,1.89956890732506
"21","TC0300012768.hg.1","1356","CP",-0.956624565067932,2.28541655273592,-4.9938070637258,7.26937571111066e-05,0.014935514551861,1.75053235199025
"22","TC0400012795.hg.1","81608","FIP1L1",0.887725260301839,8.14587355059535,4.98586809414268,7.40217535708509e-05,0.014935514551861,1.73378373606277
"23","TC0500010998.hg.1","202243","CCDC125",0.971178185886135,5.63758179599367,4.98006925236713,7.50073101542243e-05,0.014935514551861,1.72154645832198
"24","TC0600011142.hg.1","8355","H3C8",-1.40330985925443,4.83162447391445,-4.94003610831927,8.21848616813728e-05,0.014935514551861,1.63698236808366
"25","TC1100013186.hg.1","84447","SYVN1",1.03671000023798,7.56537657220211,4.9252470162169,8.50095068414296e-05,0.014935514551861,1.60570689593158
"26","TC0100008631.hg.1","84251","SGIP1",1.33248772938182,3.97725399338512,4.92486657063565,8.50834560970451e-05,0.014935514551861,1.60490209258775
"27","TC0600011499.hg.1","3119","HLA-DQB1",-1.40260179459851,6.16627165924662,-4.91368905455436,8.72854746537334e-05,0.014935514551861,1.58125137003281
"28","TC0X00006758.hg.1","22866","CNKSR2",1.09895666903643,5.318107356632,4.89649996495968,9.07852285815561e-05,0.0149795627159568,1.54485989608302
"29","TC0700009232.hg.1","669","BPGM",1.30350516813819,7.13252532443532,4.87102062788018,9.62366942513585e-05,0.0153315009462509,1.4908714720899
