"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"ISY1-RAB43",5.85677298940864,5.75984152466089,5.51586966601743,5.44495024185433,5.85677298940864,4.8092059988971,4.42893123871889,4.05236903805291,4.28192855772827,4.28542838492528,3.80306626532551,4.49103566865397,4.22131993690892,4.49313001169347,3.55626552328204
"FARSB",5.36757900418103,4.9459085015655,6.26209882400181,5.09434249002438,5.36757900418103,6.53967156682539,6.45601655880718,6.36288462503635,6.097448328635,6.37077624017808,6.50712899857548,7.2698905436418,6.66705139730667,6.19807918463825,6.2381084238069
"SCAMP3",5.68831441600663,5.95161107883721,6.09819162608851,5.8981772949888,5.68831441600663,7.15875309170425,6.80993894813052,6.9033316951529,6.97805399237698,6.93175596328875,6.89342931419979,6.93576870322694,6.55648991414955,6.9439733002009,6.63619573726999
"IL18BP",5.24715143146409,6.1133729523737,6.48704576526394,5.54596796986441,5.24715143146409,7.07814249929243,6.78203869007348,6.84357501802223,6.87872139944988,6.55537064529383,6.90653135381695,7.50658998432587,7.39051833412578,6.94776551412036,7.04603939703751
"PDCD7",4.60491843745584,4.24576589372285,4.62957462328508,4.16363946510691,4.60491843745584,5.9296715240724,5.51354938553071,6.08346046163534,5.62565083547706,5.53963462701853,6.5733537391061,5.93271014046226,5.68091465138445,6.01425365492304,4.29600054959911
"UST",3.45601014816333,2.66087854209371,4.03224954912357,2.90400605025507,3.45601014816333,4.47304223221143,4.22621414691593,4.60811606433441,3.34905516009435,4.00568833011493,5.31096360184118,5.17483064692341,3.96787927787143,4.13535291161497,4.17745186578182
"ARPC5",9.70607697516125,9.53647901636852,9.61226997068071,9.51262484328615,9.70607697516125,8.47942365682489,8.53895382763823,8.54483082514677,8.37669552877018,8.84071558295429,8.3227756308221,8.81126025802725,8.75796109721926,8.35024922396697,8.44192406690214
"ARPC1B",9.57635064642003,9.49105208750907,9.0664430364962,9.69329447393858,9.57635064642003,8.52252722609815,8.49689203593641,8.74871947882535,8.17906411675987,8.26054879946533,7.70615076851687,7.79389383632892,7.75721760306951,7.91058887202737,7.73486310472201
"ACTR3",9.95869348486147,9.80058040772634,9.92888958420529,9.47802999110746,9.95869348486147,8.94143044535267,8.5801027526383,8.75768894150977,8.13852668671788,8.77540280136932,8.68315189420111,9.21245680486141,9.21143720760719,8.65247299726279,8.02937436298601
"TSPAN5",6.43806488278765,5.8958535485818,5.38988232556873,6.37634921205307,6.43806488278765,6.97662103214543,7.10386625644674,8.15066599858088,6.49437306159974,6.80737800911471,9.38378425372545,8.43483633355914,8.72696395050411,7.41880619335103,8.48782164949178
"TSPAN2",7.4236210155481,6.54589295672542,6.3533036742115,7.07607724695313,7.4236210155481,5.86934391387578,5.72170109683687,6.02658800157597,5.62730402469903,5.88691318756669,5.92062693883183,6.65475641409156,6.85591235202809,6.03142792222354,6.9817951209709
"PPIF",7.69131595697983,8.25859305251609,7.46272142937533,7.57839614432236,7.69131595697983,5.82068217479407,6.6211784788094,6.45982067623556,6.45400428385187,6.16046044375483,5.64541515069714,5.97139190091404,6.25689976389908,5.76280283295464,6.98064683826449
"ARPC2",9.51224507386108,9.39311469425318,9.53555016893131,9.10824326872161,9.51224507386108,7.80631596714209,7.64289066364693,7.78128767492792,7.51171804595311,7.90426448953299,7.5896817760504,8.37034430099946,8.34606714157344,8.37686310491854,7.69186746204489
"ARL4C",5.91082216258603,5.54597182928648,6.52988022797287,5.90656852858216,5.91082216258603,8.20514221973595,7.38941903298885,7.8932672179551,7.41813646703683,7.54948636767997,7.12887790468927,7.74001401051857,7.2243880316565,6.68341798345496,5.16232891275315
"RASGRP1",5.31383624799692,4.93481769390023,5.9295137983434,5.19603474313443,5.31383624799692,8.01907221672344,7.84949824286528,7.57122689875736,7.44787116265355,7.22609961755213,7.8040902414084,7.84053696682527,7.62604603920084,7.40510012697598,6.97540042329835
"OPTN",5.74671438904001,5.86407285750444,6.16527885585377,6.10042750958567,5.74671438904001,6.75140005618629,6.35532717591985,6.60231857899832,6.4540411315501,6.35650996233983,7.3931921053906,7.18425197608547,7.4576254969187,6.51295437755414,7.3005747896708
"NAMPT",10.5266139848919,10.7310480067942,10.4706526046127,10.5225687146508,10.5266139848919,7.13981755463014,8.33654615814039,8.09510590520037,7.92525858031266,8.57806592278636,7.10441108000402,8.2758742520262,9.095824766264,8.71746270519408,8.99804950287869
"TOB1",9.84773412398394,9.26424886432561,9.57550156847305,9.43969997196782,9.84773412398394,8.02661750532344,7.81543164736902,7.8907833942952,7.87570963241473,7.73555317081683,8.49223916450816,8.83373229225735,8.55203717738841,8.0253899513068,7.93710466112591
"MBNL2",6.10231289622471,5.5952974338122,6.32521936009477,5.90395800941862,6.10231289622471,7.21879228703544,7.06085658679862,7.11626054892323,6.55418345166805,7.16972669871984,7.53796029602206,7.75577982490573,7.6042680127468,6.99240084143905,6.45506713730874
"PLXNC1",10.1968010769969,10.0867830718955,9.82783143528431,10.2332729437445,10.1968010769969,7.73340272359512,8.90451273686723,8.79043068673107,8.0437530467258,8.32527208161424,8.62753189121883,9.55381489439939,9.73595410423419,8.69846728982161,9.66797625574094
"SPECC1L-ADORA2A",8.42843643580258,8.41224536558439,8.15062587516869,8.66629220333159,8.42843643580258,7.38783617296963,7.46315194955216,7.04175848368262,7.055268556673,7.0848451196078,7.47834265566238,6.85635495725432,6.96220842834972,7.54889988614158,7.8033697235818
"TENM1",5.21161322872389,4.84401177438883,3.27284115152879,5.08149063056808,5.21161322872389,3.06360366683879,3.36553533321939,3.09501356219049,3.37014356242785,3.27723049827794,4.39883337018291,3.22932594440209,4.49752910004724,3.19940207758919,3.49717041541125
"RBM7",5.85915675765401,6.70287926448651,6.19517544454008,5.67727887150235,5.85915675765401,3.98121109555043,4.36940530616365,4.48667812654302,4.50993242689311,4.68823338190089,4.68965496668146,5.23434820457153,5.37193433963163,4.8099880171909,3.64682123258952
"ALG3",5.8784760701472,6.7344341411456,6.88459573444533,6.83019457672169,5.8784760701472,8.20703401124588,8.30624806457632,7.9233170185319,8.07176438860386,7.8788362520909,7.62776107426392,8.44424252298309,7.93443853605316,8.52815130209349,8.03773349127954
"PATJ",3.62546553614628,3.54920775723346,4.00696405650914,3.52032181837468,3.62546553614628,4.18392967430048,3.93822279579883,3.8538092927795,4.22323684476705,4.25747660103851,5.308427208589,5.67961718382259,5.23539825268132,4.81644515996209,4.085591292368
"FLOT1",8.44167329235065,9.0126733550705,7.99696791546097,8.53939022264488,8.44167329235065,6.56969661475953,7.23039515808492,7.09981402149861,6.21771551609178,6.87973982578169,6.99068283985903,7.21413621563203,7.26817720967205,6.48759718943511,7.97073594734844
"CTDSPL",6.37039083589208,5.88765941439635,5.58843931510992,5.92906587114084,6.37039083589208,3.32684764480073,3.64287891978369,2.90645275634183,1.82571264439489,3.22701809525924,3.78792365353038,4.83516872585619,4.93139428265647,2.65440154986382,4.46332127207595
"KLRG1",4.9662537309879,4.98448253374205,6.81388368019138,4.91792820520495,4.9662537309879,7.4076591681685,7.57116856738524,7.86909890106632,7.56125898083437,7.09497668168985,7.72708226085153,8.0972007357228,7.34945239897496,7.77825025779488,6.57402340928159
"CDK7",7.08300777805794,7.10182507056724,6.82961441932444,7.04695082872339,7.08300777805794,4.40900740984539,4.60282969355706,5.28879103041325,5.19046484059031,4.47007400348262,4.69244139919346,5.49649493931965,5.46822705016686,5.35095137233867,5.14448555255698
"TRIB1",9.22632174238478,10.5068963204693,9.47055431769003,9.10508928784466,9.22632174238478,6.56471601588127,7.25936146236251,7.35452061619066,6.96415268968712,7.15260315097024,6.8437878735858,6.99616684329985,6.85821148961342,6.78766346169868,7.32295091288058
"CD96",6.37009307154869,6.23539203195044,7.64535277357454,6.25911408755409,6.37009307154869,8.28556257300388,8.02811412965048,7.74212925796907,7.71316113655679,7.75780918238918,8.42298479725081,8.75776747040489,8.70283574713701,8.6003491709038,7.52138483256817
"CALCOCO2",7.94455807837102,8.03399379133195,8.16269138308265,7.78410052942242,7.94455807837102,7.14216981827436,6.75379284929317,6.72528254687763,6.66369326283016,6.79033655843416,6.87756192679407,7.2087068228353,7.1846650923988,6.88489132939616,5.68824908501001
"ABCC4",7.14946288072507,6.73522744671457,6.22531934182264,6.84982595406984,7.14946288072507,4.94517228106659,4.81697816443821,5.30526757759257,5.27840012932859,5.09674102791502,5.85563435441259,5.66738631928852,5.72006839089957,5.29897586152009,5.38134571870347
"CDKN1A",7.54777885190298,6.98351555057286,7.54571644023157,7.8974074670587,7.54777885190298,6.32839582085152,5.36534030429573,5.08856446711321,5.66310097110207,6.13087663006802,5.05974065602561,5.60927213088499,5.14248259858472,4.87557145853914,5.06730698204333
"CDK2AP2",5.66060926145987,6.36191098418028,5.94728163808615,6.36979823958501,5.66060926145987,7.44008252518564,7.31502468653905,7.23350804726503,7.25631279444746,6.9328218895257,7.16208372404665,6.48364892101016,6.12146597448652,7.00107861177316,7.28879474609011
"BCAS2",6.30363030921769,6.53692776939288,6.80772869891398,5.71671970733521,6.30363030921769,5.28766864466466,5.28548470521276,5.11563504672561,4.90038187637228,4.58592238107687,5.45030962094826,5.99908593759717,5.52026792824412,5.43255730990826,5.09902303919577
"DNAJA2",8.08047782114745,7.89527928438209,7.62584062221577,7.77554115223857,8.08047782114745,6.49662466560057,6.28419091325297,6.01009584226275,6.38749911810912,6.36899034431701,6.92741049300682,6.7626643520731,6.74146116737553,6.61331600749217,5.69100842020578
"ADAR",6.81000694639121,7.63556945985918,8.27331086724727,6.69123192144413,6.81000694639121,7.71088505586664,7.11496143648183,6.83669550065461,7.5054521196322,7.3162747851354,6.33521479050831,6.54026840997162,6.80770921116101,4.70326062437087,4.89302059075978
"SNAPC5",5.5920149515082,5.98938636518399,5.35945213204125,5.74636149298583,5.5920149515082,6.59487105345676,6.66004877807854,6.9127864231168,6.7279755224537,6.5713662613008,6.23659978034506,6.32514644294162,6.39231855213935,6.03739873315167,6.67668009764805
"ZNF267",8.43179043181861,7.87458784515509,8.15546219578445,8.09047108794157,8.43179043181861,6.26844344661323,5.98534472086165,6.01632806141338,6.0209569924308,6.48714189541144,5.44492842306944,6.43812032453495,6.57427659371919,6.80346308937766,6.49187127071217
"RTN3",9.81673802011667,9.93644259436946,9.23871867454703,9.78567379257342,9.81673802011667,8.22260966653161,9.1991810974771,8.93528496848955,8.57610172197635,8.65048955206281,9.007917049716,8.75045563559488,9.21140934601752,8.88082846281771,9.69927790818842
"LANCL1",3.21674643991795,3.14404583045371,3.5846427554401,2.52305451042927,3.21674643991795,4.58587724975596,3.95850881977688,4.37581761660615,3.38074481609186,3.9378044295509,5.02392134957274,4.96131499313331,4.80152363259982,4.40934141725891,3.2848590953217
"NMUR1",5.0670615855574,5.1004166016672,5.23375011497176,5.16034655110428,5.0670615855574,6.39065912219851,6.22062007690669,5.68801409122728,6.50974127003462,5.98283017867897,5.64612599544153,5.53226854432491,5.54630652281012,5.84712207470877,6.32548323245121
"IKZF1",7.8376544097694,8.18164840701205,8.28074563275485,7.81623929843211,7.8376544097694,9.16735854401753,9.01595687386359,9.15762220008138,9.05039295539068,8.87277562421977,9.50918880107375,9.19891322807298,8.89082825369972,8.72013806745921,8.96521121709122
"CRISP3",5.8953033222886,5.41341680835223,4.91266200183074,5.32906403478375,5.8953033222886,2.82212222115731,3.34297615303859,3.96689409709985,3.34929388343022,3.89195948751726,3.84265491045146,3.96336140831057,4.35125950755654,3.75170866487023,4.18099272256622
"TRIM22",8.29591114989607,8.3196899777476,9.57816190924441,7.92556538718155,8.29567865865056,8.21575455420699,6.7089489573506,6.80694477861014,8.16104094004145,8.45263998201674,6.65221667207622,7.43931117595893,7.23221163825686,7.5228115125393,6.19368596545081
"MICU1",7.22255937197924,7.28219727689377,7.13117801332049,6.58484553416243,7.22255937197924,6.11699186150463,6.25512415750237,5.66924943233689,5.37606645452274,5.88826245040531,6.39704702563786,6.70305294753571,7.10352062592677,5.74119351339635,6.29328760543541
"TUBB4B",8.58265208316288,8.61400168494278,8.27880546787564,8.82203334124971,8.58265208316288,7.4229836978622,7.11925774065679,7.54332893303232,7.13583585560437,7.50092540256452,7.21749657583637,7.04241383232752,7.02125135536212,6.92757543971208,6.85755239948998
"MYL12B",9.30613643905886,9.61942120795533,9.44091681320108,9.22061729548383,9.30613643905886,7.64841320062895,6.96046513081198,7.67668911898964,7.45870289429142,7.79320684784049,7.2390413541403,7.2724720759161,7.1009453619748,8.08725131182348,7.30151780117919
"MYL9",10.4140989540017,8.75761331853913,9.53224935291555,10.4685462302425,10.4140989540017,6.63134876935776,7.35355790569668,6.73671153655932,6.25736425004745,7.64334973161873,8.10911182818592,7.71916199365423,8.16315260479036,7.72005258655224,8.51899170730032
"ADARB1",5.09039338371456,4.63210023404799,5.82228555999786,5.20869554177611,5.09039338371456,6.44007657418581,5.52532837894298,6.26348373288208,5.5586549017352,5.47407161304476,7.06200054457914,6.63962816839522,6.43539426678671,6.12047294855201,5.76871962733847
"CPQ",7.76356478819748,7.41873681705003,7.04481752446484,7.61640495111419,7.76356478819748,5.75867180304074,6.71580973812615,6.49645958573401,6.26884385845377,6.29274621400272,6.05922773850081,7.88237086851317,7.92333462453833,7.1056188528282,7.17432370215778
"BASP1",9.33886981202855,9.72834852126075,8.93268590383247,9.37149771754682,9.33886981202855,5.7474422100034,8.530325541657,8.02994136019776,7.24079002849026,7.78029104596278,7.95979949770079,8.22148714356186,8.9549535776151,7.78783993843579,8.89471602917745
"NSA2",6.65562518776273,6.44450128769584,7.09826155405605,6.07188366453389,6.65562518776273,4.65431383338729,4.43846740797048,3.84718822549961,3.54069207689515,4.93153787947811,3.82266560550812,5.0424201469914,4.74770687112821,5.50703791594061,4.11956221561062
"RBM14",5.75477665680429,5.77438190037455,6.16021274647879,5.47470065621306,5.75477665680429,7.00200284990404,6.801160627218,6.97551457825257,6.73040285994078,6.75677142362639,7.03178835405626,6.8322427514387,6.9794496176647,6.13430316313444,5.19516706903977
"LYPLA1",6.31870764762506,6.65554628166486,5.81392582172279,5.07975538654095,6.31870764762506,6.03024484230724,5.88459256719156,6.08436509686021,5.5906482220968,5.56623629990774,5.6106258497713,5.99441483722686,5.80333373635457,4.49691287372986,3.14682438609112
"ZER1",6.57985410178178,6.84494701344307,6.1346025731014,6.6438047903867,6.57992102723369,6.99310717265785,7.26711808767683,7.38755318932573,6.98643973583151,6.96745924842555,8.28422401738928,7.48191531684797,7.77196066384516,6.88996458936066,8.0791641711005
"ECI2",4.43596651499958,4.18941980785536,5.30074302534395,4.20187106735844,4.43596651499958,5.75187404241156,5.6930776715114,5.72022362948018,5.3401799148482,5.39702647550706,5.52788815268539,6.15050137218308,6.10209396691439,5.2367940506413,4.87670783460296
"MERTK",4.81946286055994,4.84962320586415,3.50812754550775,4.58138592451796,4.81946286055994,4.76157619461477,3.82577171856111,3.44402586944781,3.33867389065945,4.581432904762,3.40714018102639,4.01671212260834,2.89369060015137,3.13270721779272,2.73797641337783
"ZNHIT1",6.24753378878577,6.6549220778966,5.88290991789035,5.70739051034774,6.24753378878577,6.238554898944,6.02743573471011,6.18531404396677,5.57595181420929,6.1006204797997,5.26948544020783,5.24139583636659,5.39355806573542,5.05000578758637,4.64580662986835
"ATP5PD",7.15575492549848,7.08068522500724,7.1755392323713,6.44084292052135,7.15575492549848,6.54689726824339,5.68083943624819,5.63917683875729,5.58085052016221,5.79937074363243,6.01016635668196,5.96078939585538,5.44859633370135,5.19452476495134,3.57827722075523
"CAP1",10.8809864673189,10.6138069860693,10.2868073345135,10.704727982019,10.8809864673189,9.5733257655157,9.51490534870227,9.75568263288218,9.60944778304316,9.65860803630157,9.66511454967288,9.77863390360037,9.67311989597646,10.4322372202669,10.4233981190393
"LINC02210-CRHR1",4.64886433272835,4.3017513928418,5.49910195177838,4.23471692170258,4.64886433272835,6.23258873487591,6.26259045392252,6.11277084745938,5.76047177476931,5.74076895431808,6.82270991437982,6.11311327965878,6.27244266107906,6.31059739828021,5.42785256966266
"CEBPB",7.87945179001591,8.1916101876113,7.43191520923691,7.96706919794653,7.87945179001591,6.55251956021507,7.13297446027964,7.13987765670025,6.92925273028585,7.05150788165516,5.63480401313764,6.0313893050091,6.21203192039263,6.50334565387014,7.21716087162425
"LAMTOR5",7.57558520596959,8.75402581870338,7.80633281375382,7.46551962959993,7.57558520596959,5.99294696355489,5.35589511938882,5.59727802867353,5.56486961301172,5.84866741915148,5.8131776590367,5.72648936192446,5.69251423038515,5.76515531355396,5.21860667037668
"HTATIP2",6.7415383627698,7.33426315269039,6.92010889900847,6.40487394117046,6.7415383627698,5.85209480723021,5.52869447327709,5.77494998331363,5.52384573465632,5.802225603282,5.0986055363644,5.44513132460655,5.57757142567991,5.49598394024502,5.65890232056736
"OLFM4",7.34004360019486,5.46634535719422,4.92958602779309,7.3001443711871,7.34004360019486,4.6560365615162,4.31506064846552,4.80100182673688,3.39600837011084,5.24029084133137,4.43836991467775,3.92206790057751,4.82593996334323,4.77837312902239,5.36738051937143
"SLU7",5.96586302274772,6.03417522076849,6.52964995031727,6.36291310354834,5.96586302274772,4.81882870542901,4.28377039704149,4.70447452644327,3.87447188449551,4.22596607003743,4.59016508714016,4.80231516693445,5.02755002556661,5.02694481971914,4.82943102735364
"GNLY",7.73690835063261,7.14103824185023,7.80456422577669,7.8955784038455,7.73690835063261,10.7440587870187,10.193534249292,10.4918018783232,11.1994489430621,10.4847052679446,9.57697305449048,9.6832197276998,9.46398097967572,9.39054613976415,8.98581386631687
"TXNRD2",6.32829494664308,6.23460353625196,6.49051845556124,6.43780254547109,6.32829494664308,7.12568271563686,7.17151409029119,7.17620690076551,7.11435366794811,7.06505654335734,7.53535990060692,7.71718176418487,7.35267744954644,7.35149438113613,7.21107786001365
"USP16",6.79660673126653,6.50711751436486,7.01050951292498,6.38581477124389,6.79660673126653,5.65641755022105,5.16073371678181,5.76892246292958,5.38413681260579,5.9942775038427,5.66751244679097,6.75057699756681,6.1929857472317,6.72248970147344,5.86964041723528
"CDC42EP3",8.62804283827399,9.04478695417623,9.2091594476013,8.86135265030922,8.62804283827399,7.33878280064036,7.89617635216963,7.81232570636117,7.78578932435313,7.76051983458194,7.10843836716835,7.50113741455955,7.89905210070991,6.99171349339687,7.85448280444403
"ERLIN1",6.94780055936871,6.57876478602276,6.44589909395387,6.38108121101015,6.94780055936871,5.70702534444662,5.0781671927268,5.61332610840961,5.0714615719555,5.16007230150898,5.840725123111,5.74990602975585,6.21894478957996,5.88452549175948,4.91671209022998
"IVNS1ABP",7.89654753245331,8.29167703413475,7.9574542091256,7.66263738219215,7.89654753245331,5.9131605639701,6.09307635029115,5.70547647933267,5.79695119678771,6.2424951429037,6.57284328286539,6.68550566659542,7.02269069512758,6.38249892651263,5.20011133621844
"MYL12A",9.81256243955094,9.83567839707446,10.1839610901436,9.5416002792384,9.81256243955094,8.62532248691168,8.15847246268452,8.34351132462225,8.45622558129533,8.68576416875168,8.27730122769573,8.03021185577854,7.92302646092279,8.16416179642528,7.59155860556705
"IGF2BP2",5.88697398448858,4.91676406845072,5.02375303468382,5.58996330644759,5.88697398448858,5.64792854104597,6.012494794102,6.00890879528784,5.4536005751978,6.12438350991401,7.3625073560104,6.81554554169493,7.04219122135819,5.93991646747686,6.88483480078708
"CAMKK2",7.74274290450174,7.1385716294032,6.69538843478831,7.64654544070172,7.74274290450174,5.90778188097387,6.22452886757815,6.70267906880914,5.92510070944718,6.0784838281146,6.53593189521895,6.64476638362506,6.22791285516272,5.85169556060505,5.62138052887713
"CXCR6",3.62958723662678,3.56402920206612,3.46071003626372,3.17811585210891,3.62958723662678,4.71058950358758,5.7553001608454,5.06951746818892,4.63691097153658,4.75566617858115,4.08373734107406,4.8916801195105,4.99453215333874,5.46067532740297,4.11694716401869
"CD226",7.47493750110379,5.93721489515208,6.94338663375021,7.25853491363829,7.47493750110379,6.04100503760351,5.96106316754258,4.96256923931068,5.29263160910596,5.31876291455942,5.83647815108215,6.1843076073535,6.12450393117459,5.74237139517283,4.36135044318214
"DCTN6",3.90534343000385,4.16358020425898,4.72150746697928,4.01844126305817,3.90534343000385,3.64819866472151,2.79802844907256,3.62499081752648,3.22645850645629,3.20680477210056,2.84262933919776,3.52066404153657,2.67816786409481,2.86170906207054,1.92896821599452
"GNA13",9.53520766980098,9.06260673079143,8.9954358739903,9.27247481824425,9.53520766980098,8.13434852857234,8.11961492742468,8.32449160229592,8.03457037160214,8.21069079679082,8.09183988780785,8.58437361805217,8.80171672540806,8.07225748461742,7.35915442333512
"B3GNT2",6.75266692750436,6.97778742099396,7.10664134823301,6.36187566990815,6.75266692750436,5.50208725895695,5.55639232544522,6.15959316595911,5.42724946065792,5.53723227363717,5.68036322489891,6.31556037415212,6.35892905221341,5.50238352588286,5.18565558730125
"CETN2",7.1977795279944,7.46391328056336,6.42292694811828,7.53261445236381,7.1977795279944,5.39447066182984,4.87123067924851,4.8456202838734,4.47657661057987,5.14815765335975,4.76883324690935,5.12948155525524,5.01085203721335,5.27513539971366,4.60774353335847
