"","PROBEID","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1617","TC1700008180.hg.1","65264","UBE2Z",0.7347981,6.950778,3.958668,0.0007936201,0.002266267,-0.9843485
"1618","TC0300013954.hg.1","79750","ZNF385D",-0.9355501,3.814447,-3.958633,0.0007936841,0.002266267,-0.9844277
"1619","TC1700011779.hg.1","51","ACOX1",-0.9098584,6.820204,-3.953799,0.0008026446,0.002290437,-0.9954561
"1620","TC1000009863.hg.1","83641","FAM107B",-1.006455,5.990492,-3.953428,0.0008033353,0.002290993,-0.996301
"1621","TC1400010717.hg.1","90673","PPP1R3E",0.9080148,4.661034,3.951785,0.0008064058,0.002298331,-1.000048
"1622","TC0800007681.hg.1","96764","TGS1",0.8053397,5.200617,3.951508,0.0008069265,0.002298397,-1.000682
"1623","TC0400011524.hg.1","93627","TBCK",0.9995084,5.605507,3.95105,0.0008077842,0.002299423,-1.001726
"1624","TC0600009783.hg.1","10090","UST",1.251465,3.99585,3.948443,0.0008126897,0.002311351,-1.007673
"1625","TC0600011142.hg.1","8355","H3C8",-1.121586,4.831624,-3.948291,0.0008129752,0.002311351,-1.008018
"1626","TC1600007973.hg.1","9688","NUP93",0.8424055,6.362139,3.94725,0.0008149445,0.002314736,-1.010394
"1627","TC0800010663.hg.1","55156","ARMC1",0.7974413,4.815144,3.947131,0.000815168,0.002314736,-1.010663
"1628","TC0600010962.hg.1","7913","DEK",-1.095536,8.416851,-3.945925,0.000817454,0.002319802,-1.013414
"1629","TC0300012208.hg.1","201562","HACD2",1.295293,6.760107,3.945057,0.0008191032,0.002323055,-1.015393
"1630","TC0400010961.hg.1","3512","JCHAIN",-2.336216,8.329691,-3.944615,0.0008199454,0.002324017,-1.016402
"1631","TC0200016418.hg.1","84450","ZNF512",0.9730879,5.045303,3.944224,0.0008206893,0.002324699,-1.017293
"1632","TC1100013185.hg.1","2197","FAU",-1.197143,7.034077,-3.943589,0.0008219012,0.002326706,-1.018742
"1633","TC1800008977.hg.1","10666","CD226",-1.368,6.060937,-3.942485,0.0008240105,0.002331248,-1.021259
"1634","TC0100014788.hg.1","54680","ZNHIT6",1.138614,4.147397,3.939611,0.0008295286,0.002345424,-1.027814
"1635","TC0X00006658.hg.1","8481","OFD1",1.28315,5.400126,3.938552,0.0008315694,0.002349756,-1.030227
"1636","TC0600010375.hg.1","55770","EXOC2",1.010806,4.826507,3.937673,0.0008332691,0.002353119,-1.032232
"1637","TC0300011450.hg.1","7110","TMF1",-0.7509617,6.063343,-3.936942,0.0008346852,0.002355678,-1.033899
"1638","TC1100012957.hg.1","10346","TRIM22",-1.474954,7.720038,-3.936299,0.0008359323,0.002357758,-1.035365
"1639","TC1400007906.hg.1","79882","ZC3H14",1.028032,5.771123,3.934832,0.0008387841,0.002364358,-1.038709
"1640","TC1500008900.hg.1","283710","LOC283710",0.8911001,3.887045,3.933388,0.0008416017,0.002370854,-1.042002
"1641","TC0200011974.hg.1","51639","SF3B6",-1.286743,6.884549,-3.932416,0.000843502,0.002374759,-1.044217
"1642","TC0200008458.hg.1","7549","ZNF2",0.8727284,2.499316,3.929979,0.0008482886,0.00238613,-1.049773
"1643","TC0200016727.hg.1","55677","IWS1",0.9657189,5.38896,3.929389,0.0008494506,0.00238613,-1.051117
"1644","TC1900012044.hg.1","51206","GP6",-0.8535995,5.721784,-3.929323,0.0008495823,0.00238613,-1.051269
"1645","TC0400008170.hg.1","56916","SMARCAD1",1.069632,3.96251,3.92931,0.0008496068,0.00238613,-1.051297
"1646","TC0300009306.hg.1","51319","RSRC1",-0.8252428,5.465419,-3.927087,0.0008540032,0.002395469,-1.056364
"1647","TC0100016035.hg.1","2117","ETV3",-0.7170498,6.704605,-3.927012,0.0008541515,0.002395469,-1.056535
"1648","TC1100012358.hg.1","57646","USP28",1.690376,5.339502,3.926843,0.0008544877,0.002395469,-1.056921
"1649","TC1000012584.hg.1","10613","ERLIN1",-0.9381065,5.902814,-3.925785,0.0008565888,0.002399903,-1.059332
"1650","TC0200008894.hg.1","10461","MERTK",-1.277967,3.914518,-3.924627,0.0008588951,0.002404906,-1.061972
"1651","TC1600009422.hg.1","2935","GSPT1",1.438995,7.785523,3.919632,0.0008689135,0.002431484,-1.073356
"1652","TC2200007413.hg.1","9402","GRAP2",-0.9371144,7.974571,-3.919134,0.000869918,0.002432378,-1.07449
"1653","TC0700012970.hg.1","136051","ZNF786",0.7441004,3.957706,3.918952,0.0008702859,0.002432378,-1.074905
"1654","TC1600009954.hg.1","5595","MAPK3",-0.8035536,8.390349,-3.918143,0.0008719234,0.002435481,-1.07675
"1655","TC0100016302.hg.1","919","CD247",1.005035,6.782494,3.917239,0.0008737548,0.002439122,-1.07881
"1656","TC1500006748.hg.1","22909","FAN1",0.9969828,3.070778,3.913879,0.0008805973,0.002456739,-1.086467
"1657","TC0100018496.hg.1","90780","PYGO2",0.8602482,5.155144,3.908794,0.0008910528,0.002484408,-1.098051
"1658","TC1500010407.hg.1","290","ANPEP",-1.462105,9.123975,-3.908009,0.0008926794,0.002487442,-1.099841
"1659","TC0400011056.hg.1","53371","NUP54",-0.8513182,5.94326,-3.90671,0.000895375,0.002493094,-1.1028
